PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
90319,2020-08-31,02079K30,GOOGL,45483,,1629.53003,1316645,-0.006039,300471
90319,2020-09-01,02079K30,GOOGL,45483,,1655.07996,1130360,0.015679,300471
90319,2020-09-02,02079K30,GOOGL,45483,,1717.39001,2468512,0.037648,300471
90319,2020-09-03,02079K30,GOOGL,45483,,1629.51001,3176900,-0.051171,300471
90319,2020-09-04,02079K30,GOOGL,45483,,1581.20996,2771923,-0.029641,300471
90319,2020-09-08,02079K30,GOOGL,45483,,1523.59998,2681378,-0.036434,300471
90319,2020-09-09,02079K30,GOOGL,45483,,1547.22998,1940246,0.015509,300471
90319,2020-09-10,02079K30,GOOGL,45483,,1526.05005,1638379,-0.013689,300471
90319,2020-09-11,02079K30,GOOGL,45483,,1515.76001,1522392,-0.006743,300471
90319,2020-09-14,02079K30,GOOGL,45483,,1508.82996,2128600,-0.004572,300471
90319,2020-09-15,02079K30,GOOGL,45483,,1535.12000,1146522,0.017424,300471
90319,2020-09-16,02079K30,GOOGL,45483,,1512.08997,1103730,-0.015002,300471
90319,2020-09-17,02079K30,GOOGL,45483,,1487.04004,1995758,-0.016566,300471
90319,2020-09-18,02079K30,GOOGL,45483,,1451.08997,3146738,-0.024176,300471
90319,2020-09-21,02079K30,GOOGL,45483,,1430.14001,2836710,-0.014437,300471
90319,2020-09-22,02079K30,GOOGL,45483,,1459.81995,1689876,0.020753,300471
90319,2020-09-23,02079K30,GOOGL,45483,,1409.39001,1881256,-0.034545,300471
90319,2020-09-24,02079K30,GOOGL,45483,,1422.85999,1723017,0.009557,300471
90319,2020-09-25,02079K30,GOOGL,45483,,1439.06006,1513526,0.011386,300471
90319,2020-09-28,02079K30,GOOGL,45483,,1458.66003,1531500,0.013620,300471
90319,2020-09-29,02079K30,GOOGL,45483,,1466.02002,1585899,0.005046,300471
90319,2020-09-30,02079K30,GOOGL,45483,,1465.59998,2041155,-0.000287,300641
90319,2020-10-01,02079K30,GOOGL,45483,,1487.90002,1641900,0.015216,300641
90319,2020-10-02,02079K30,GOOGL,45483,,1455.59998,1557146,-0.021708,300641
90319,2020-10-05,02079K30,GOOGL,45483,,1482.82996,1078024,0.018707,300641
90319,2020-10-06,02079K30,GOOGL,45483,,1451.02002,1298729,-0.021452,300641
90319,2020-10-07,02079K30,GOOGL,45483,,1459.14001,1799806,0.005596,300641
90319,2020-10-08,02079K30,GOOGL,45483,,1483.43005,1298329,0.016647,300641
90319,2020-10-09,02079K30,GOOGL,45483,,1510.44995,1638207,0.018214,300641
90319,2020-10-12,02079K30,GOOGL,45483,,1564.58997,2762908,0.035844,300641
90319,2020-10-13,02079K30,GOOGL,45483,,1567.06995,1940862,0.001585,300641
90319,2020-10-14,02079K30,GOOGL,45483,,1563.43994,1642484,-0.002316,300641
90319,2020-10-15,02079K30,GOOGL,45483,,1555.46997,1550951,-0.005098,300641
90319,2020-10-16,02079K30,GOOGL,45483,,1567.69995,1704369,0.007863,300641
90319,2020-10-19,02079K30,GOOGL,45483,,1529.94995,1480225,-0.024080,300641
90319,2020-10-20,02079K30,GOOGL,45483,,1551.07996,2078178,0.013811,300641
90319,2020-10-21,02079K30,GOOGL,45483,,1585.98999,3002531,0.022507,300641
90319,2020-10-22,02079K30,GOOGL,45483,,1606.66003,1519714,0.013033,300644
90319,2020-10-23,02079K30,GOOGL,45483,,1632.97998,1522823,0.016382,300644
90319,2020-10-26,02079K30,GOOGL,45483,,1584.29004,1786035,-0.029817,300644
90319,2020-10-27,02079K30,GOOGL,45483,,1598.88000,1288975,0.009209,300644
90319,2020-10-28,02079K30,GOOGL,45483,,1510.80005,2253040,-0.055089,300644
90319,2020-10-29,02079K30,GOOGL,45483,,1556.88000,2760593,0.030500,300644
90319,2020-10-30,02079K30,GOOGL,45483,,1616.10999,4962323,0.038044,300644
90319,2020-11-02,02079K30,GOOGL,45483,,1624.31995,2202648,0.005080,300644
90319,2020-11-03,02079K30,GOOGL,45483,,1645.66003,1564615,0.013138,300644
90319,2020-11-04,02079K30,GOOGL,45483,,1745.84998,3553289,0.060881,300644
90319,2020-11-05,02079K30,GOOGL,45483,,1762.50000,1980412,0.009537,300644
90319,2020-11-06,02079K30,GOOGL,45483,,1759.72998,1427403,-0.001572,300644
90319,2020-11-09,02079K30,GOOGL,45483,,1761.42004,2661534,0.000960,300644
90319,2020-11-10,02079K30,GOOGL,45483,,1737.71997,2146536,-0.013455,300644
90319,2020-11-11,02079K30,GOOGL,45483,,1747.22998,1581896,0.005473,300644
90319,2020-11-12,02079K30,GOOGL,45483,,1742.81995,1316257,-0.002524,300644
90319,2020-11-13,02079K30,GOOGL,45483,,1772.26001,1482521,0.016892,300644
90319,2020-11-16,02079K30,GOOGL,45483,,1774.03003,1267512,0.000999,300644
90319,2020-11-17,02079K30,GOOGL,45483,,1761.66003,1062875,-0.006973,300644
