PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
14593,2015-08-11,03783310,AAPL,7,,113.49000,97082814,-0.052038,5702722
14593,2015-08-12,03783310,AAPL,7,,115.24000,101685460,0.015420,5702722
14593,2015-08-13,03783310,AAPL,7,,115.15000,48535789,-0.000781,5702722
14593,2015-08-14,03783310,AAPL,7,,115.96000,42929516,0.007034,5702722
14593,2015-08-17,03783310,AAPL,7,,117.16000,40884866,0.010348,5702722
14593,2015-08-18,03783310,AAPL,7,,116.50000,34561708,-0.005633,5702722
14593,2015-08-19,03783310,AAPL,7,,115.01000,48286544,-0.012790,5702722
14593,2015-08-20,03783310,AAPL,7,,112.65000,68546652,-0.020520,5702722
14593,2015-08-21,03783310,AAPL,7,,105.76000,128275475,-0.061163,5702722
14593,2015-08-24,03783310,AAPL,7,,103.12000,162268647,-0.024962,5702722
14593,2015-08-25,03783310,AAPL,7,,103.74000,103613017,0.006012,5702722
14593,2015-08-26,03783310,AAPL,7,,109.69000,96928312,0.057355,5702722
14593,2015-08-27,03783310,AAPL,7,,112.92000,84629356,0.029447,5702722
14593,2015-08-28,03783310,AAPL,7,,113.29000,53164618,0.003277,5702722
14593,2015-08-31,03783310,AAPL,7,,112.76000,56229563,-0.004678,5702722
14593,2015-09-01,03783310,AAPL,7,,107.72000,76845860,-0.044697,5702722
14593,2015-09-02,03783310,AAPL,7,,112.34000,62277782,0.042889,5702722
14593,2015-09-03,03783310,AAPL,7,,110.37000,53234219,-0.017536,5702722
14593,2015-09-04,03783310,AAPL,7,,109.27000,50051951,-0.009967,5702722
14593,2015-09-08,03783310,AAPL,7,,112.31000,55167964,0.027821,5702722
14593,2015-09-09,03783310,AAPL,7,,110.15000,85010816,-0.019232,5702722
14593,2015-09-10,03783310,AAPL,7,,112.57000,62898631,0.021970,5702722
14593,2015-09-11,03783310,AAPL,7,,114.21000,49915473,0.014569,5702722
14593,2015-09-14,03783310,AAPL,7,,115.31000,58363441,0.009631,5702722
14593,2015-09-15,03783310,AAPL,7,,116.28000,43341255,0.008412,5702722
14593,2015-09-16,03783310,AAPL,7,,116.41000,37173489,0.001118,5702722
14593,2015-09-17,03783310,AAPL,7,,113.92000,64124678,-0.021390,5702722
14593,2015-09-18,03783310,AAPL,7,,113.45000,74285591,-0.004126,5702722
14593,2015-09-21,03783310,AAPL,7,,115.21000,51976658,0.015513,5702722
14593,2015-09-22,03783310,AAPL,7,,113.40000,50351575,-0.015710,5702722
14593,2015-09-23,03783310,AAPL,7,,114.32000,35756766,0.008113,5702722
14593,2015-09-24,03783310,AAPL,7,,115.00000,50220704,0.005948,5702722
14593,2015-09-25,03783310,AAPL,7,,114.71000,56151926,-0.002522,5702722
14593,2015-09-28,03783310,AAPL,7,,112.44000,52112939,-0.019789,5702722
14593,2015-09-29,03783310,AAPL,7,,109.06000,73365384,-0.030061,5702722
14593,2015-09-30,03783310,AAPL,7,,110.30000,66473033,0.011370,5702722
14593,2015-10-01,03783310,AAPL,7,,109.58000,63928201,-0.006528,5702722
14593,2015-10-02,03783310,AAPL,7,,110.38000,58020038,0.007301,5702722
14593,2015-10-05,03783310,AAPL,7,,110.78000,52064743,0.003624,5702722
